Instancia;N_Itens;Algoritmo;Parametros;Melhor_Lucro;Otimo_Conhecido;Gap(%);Tempo_Medio(s);Iteracoes/Geracoes
P01;10;Busca Tabu;tabu_size=5, max_iterations=100;309;309;0.0;0.0017;100
P01;10;Busca Tabu;tabu_size=5, max_iterations=500;309;309;0.0;0.0084;500
P01;10;Busca Tabu;tabu_size=5, max_iterations=1000;309;309;0.0;0.0169;1000
P01;10;Busca Tabu;tabu_size=10, max_iterations=100;309;309;0.0;0.0002;10
P01;10;Busca Tabu;tabu_size=10, max_iterations=500;309;309;0.0;0.0003;10
P01;10;Busca Tabu;tabu_size=10, max_iterations=1000;309;309;0.0;0.0002;10
P01;10;Busca Tabu;tabu_size=20, max_iterations=100;309;309;0.0;0.0002;10
P01;10;Busca Tabu;tabu_size=20, max_iterations=500;309;309;0.0;0.0002;10
P01;10;Busca Tabu;tabu_size=20, max_iterations=1000;309;309;0.0;0.0002;10
P01;10;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;309;309;0.0;0.0209;100
P01;10;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;309;309;0.0;0.0226;100
P01;10;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;309;309;0.0;0.0965;500
P01;10;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;309;309;0.0;0.1022;500
P01;10;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;309;309;0.0;0.1947;1000
P01;10;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;309;309;0.0;0.2025;1000
P01;10;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;309;309;0.0;0.0384;100
P01;10;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;309;309;0.0;0.0412;100
P01;10;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;309;309;0.0;0.1934;500
P01;10;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;309;309;0.0;0.2094;500
P01;10;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;309;309;0.0;0.3835;1000
P01;10;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;309;309;0.0;0.4108;1000
P02;5;Busca Tabu;tabu_size=5, max_iterations=100;47;51;7.84;0.0;5
P02;5;Busca Tabu;tabu_size=5, max_iterations=500;47;51;7.84;0.0;5
P02;5;Busca Tabu;tabu_size=5, max_iterations=1000;47;51;7.84;0.0;5
P02;5;Busca Tabu;tabu_size=10, max_iterations=100;47;51;7.84;0.0;5
P02;5;Busca Tabu;tabu_size=10, max_iterations=500;47;51;7.84;0.0;5
P02;5;Busca Tabu;tabu_size=10, max_iterations=1000;47;51;7.84;0.0;5
P02;5;Busca Tabu;tabu_size=20, max_iterations=100;47;51;7.84;0.0;5
P02;5;Busca Tabu;tabu_size=20, max_iterations=500;47;51;7.84;0.0;5
P02;5;Busca Tabu;tabu_size=20, max_iterations=1000;47;51;7.84;0.0;5
P02;5;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;51;51;0.0;0.0164;100
P02;5;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;51;51;0.0;0.0166;100
P02;5;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;51;51;0.0;0.082;500
P02;5;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;51;51;0.0;0.0841;500
P02;5;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;51;51;0.0;0.1633;1000
P02;5;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;51;51;0.0;0.1683;1000
P02;5;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;51;51;0.0;0.0333;100
P02;5;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;51;51;0.0;0.0337;100
P02;5;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;51;51;0.0;0.1682;500
P02;5;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;51;51;0.0;0.1758;500
P02;5;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;51;51;0.0;0.3309;1000
P02;5;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;51;51;0.0;0.3353;1000
P03;6;Busca Tabu;tabu_size=5, max_iterations=100;150;150;0.0;0.0007;100
P03;6;Busca Tabu;tabu_size=5, max_iterations=500;150;150;0.0;0.0037;500
